Node,Element Type,BACnet Object Name,BACnet Object Identifier,Text,Link Target,Center X,Center Y,Left,Top,Width,Height,Center X %,Center Y %,Hidden,Note
12,Fan Animation,NAE167/Field Bus1.AH9.BCU101 CWP-S,BI:3001341,,,1250.0,123.0,1240.1,114.6,19.8,16.9,87.54,16.23,,
13,Fan Animation,NAE167/Field Bus1.CH3.CH3-S,BI:3001219,,,621.0,489.0,591.4,461.5,59.1,54.9,43.49,64.51,,
14,Fan Animation,NAE167/Field Bus1.TRT-CH3.TW3-CHMP-S,BI:3003459,,,428.1,438.6,416.3,431.1,23.7,14.9,29.98,57.86,,
15,Fan Animation,NAE167/Field Bus1.TRT-CH3.TW3-INHIB-S,BI:3001309,,,437.0,362.0,423.5,353.2,26.9,17.6,30.6,47.76,,
16,Fan Animation,NAE167/Field Bus1.CH3.CH3-LP3-S,BI:3001220,,,1082.0,495.0,1059.4,471.1,45.2,47.8,75.77,65.3,,
17,Fan Animation,NAE167/Field Bus1.CH3.CH3-TF2-S,BI:3001194,,,266.0,132.0,243.8,116.4,44.4,31.3,18.63,17.41,,
18,Fan Animation,NAE167/Field Bus1.TRT-CH3.TW3-ACID-S,BI:3001310,,,437.0,323.0,423.5,314.2,26.9,17.6,30.6,42.61,,
19,Fan Animation,NAE167/Field Bus1.AH9.AH9 SF-S,BI:3001351,,,1297.0,266.0,1280.1,248.7,33.9,34.5,90.83,35.09,,
20,Fan Animation,NAE167/Field Bus1.CH3.CH3-TP3-S,BI:3001221,,,247.0,588.0,225.8,566.2,42.5,43.5,17.3,77.57,,
21,Fan Animation,NAE167/Field Bus1.AH9.BCU101 SF-S,BI:3001340,,,1336.0,84.4,1319.0,68.8,34.0,31.2,93.56,11.13,,
22,Value Display,NAE167/Field Bus1.CH3.CH3-TWS-T,AI:3001218,,,204.5,474.9,186.0,464.7,37.0,20.3,14.32,62.65,,
23,Value Display,NAE167/Programming.PCW Data.LSC3-LP-KWpTon,AV:3001094,,,766.0,233.0,744.6,225.6,42.8,14.9,53.64,30.74,,
24,Value Display,NAE167/Field Bus1.CH3.CH3-TP3-SC,AO:3001227,,,246.0,558.0,222.7,550.2,46.6,15.7,17.23,73.61,,
25,Value Display,NAE167/Field Bus1.CH3.Parameters.Alarm Reset,MV:3001265,,,619.0,440.0,604.2,433.0,29.5,14.0,43.35,58.05,,
26,Value Display,NAE167/Field Bus1.AH9.AH9 CWR-T,AI:3001348,,,1131.1,329.3,1115.0,321.0,32.1,16.5,79.21,43.44,,
27,Value Display,NAE167/Field Bus1.CH3.Parameters.TBV-TWST-SP,AV:3001256,,,133.0,486.0,114.2,477.5,37.6,17.1,9.31,64.12,,
28,Value Display,NAE167/Field Bus1.BNET-CH3.AV-11,AV:3002548,,,485.0,531.0,469.2,525.1,31.6,11.8,33.96,70.05,,
29,Text Label,,,CF,,493.0,697.0,473.0,689.5,40.0,15.0,34.52,91.95,,
30,Value Display,NAE167/Programming.PCW Data.LSC3-PCW-HkWpTon,AV:3000525,,,766.0,149.0,742.4,141.6,47.2,14.9,53.64,19.66,,
31,Value Display,NAE167/Field Bus1.CH3.CH3-TWBYP-V,AO:3001230,,,375.0,223.0,340.8,215.5,68.5,15.0,26.26,29.42,,
32,Value Display,NAE167/Field Bus1.CH3.CH3-CP3-SC,AO:3001225,,,921.3,568.8,900.7,562.4,41.3,12.8,64.52,75.05,,
33,Value Display,NAE167/Field Bus1.CH3.Parameters.TWMU-LVL-SP,AV:3001264,,,82.0,214.0,63.3,207.6,37.4,12.9,5.74,28.23,,
34,Value Display,NAE167/Field Bus1.BNET-CH3.AV-401,AV:3002584,,,533.0,654.0,516.2,644.0,33.5,20.0,37.32,86.28,,
35,Value Display,NAE167/Field Bus1.TRT-CH3.TW3-COND,AI:3001304,,,363.0,341.0,338.8,332.8,48.5,16.5,25.42,44.99,,
36,Value Display,NAE45/Programming.Weather Station.OADB-T,AV:3021782,,,527.0,63.0,508.6,55.2,36.7,15.7,36.9,8.31,,Point on NAE45 (outside the five controllers)
37,Value Display,NAE167/Field Bus1.BNET-CH3.AV-6,AV:3002543,,,820.0,551.0,804.2,545.1,31.6,11.8,57.42,72.69,,
38,Value Display,NAE167/Programming.PCW Data.LSC3-TF-KWpTon,AV:3001098,,,766.0,268.0,744.6,260.6,42.8,14.9,53.64,35.36,,
39,Value Display,NAE167/Field Bus1.CH3.CH3-DS-BLW,BO:3001191,,,1147.0,671.0,1123.5,663.7,47.0,14.6,80.32,88.52,,
40,Value Display,NAE167/Field Bus1.TRT-CH3.TW3-INHB,AI:3001299,,,363.0,361.0,338.8,352.8,48.5,16.5,25.42,47.63,,
41,Value Display,NAE167/Field Bus1.TRT-CH3.TW3-CHMP-SS,BO:3001311,,,454.0,431.0,439.9,425.8,28.1,10.4,31.79,56.86,,
42,Value Display,NAE167/Field Bus1.CH3.CH3-TWR-T,AI:3001204,,,493.0,473.0,477.0,464.7,32.1,16.5,34.52,62.4,,
43,Value Display,NAE167/Field Bus1.CH3.CH3-CP3-SS,BO:3001231,,,921.3,554.4,900.7,548.0,41.3,12.8,64.52,73.14,,
44,Value Display,NAE167/Field Bus1.CH3.CH3-TF2-SC,AO:3001229,,,266.0,107.6,242.7,99.8,46.6,15.7,18.63,14.2,,
