Node,Element Type,BACnet Object Name,BACnet Object Identifier,Text,Link Target,Center X,Center Y,Left,Top,Width,Height,Center X %,Center Y %,Hidden,Note
191,Value Display,NAE189/Field Bus1.GTP-CH4.CH4-TWS-T,AI:3002866,,,532.5,359.0,515.7,351.7,33.6,14.5,35.43,46.74,,
192,Value Display,NAE189/Field Bus1.GTP-CH4.CH4-TW-V,AO:3002873,,,623.5,329.0,593.1,322.2,60.9,13.5,41.48,42.84,,
193,Value Display,NAE189/Field Bus1.GTP-LP.LCWR-P,AI:3002639,,,1456.5,629.0,1440.9,622.9,31.2,12.3,96.91,81.9,,
194,Value Display,NAE189/Field Bus1.GTP-LP.CWMU-F,AI:3002655,,,1141.5,659.0,1119.0,652.5,45.0,13.1,75.95,85.81,,
195,Value Display,NAE45/Programming.Weather Station.OAWB-T,AV:3021786,,,1448.5,121.0,1428.4,112.6,40.1,16.8,96.37,15.76,,Point on NAE45 (outside the five controllers)
196,Value Display,NAE189/Field Bus1.GTP-CH5.Parameters.Alarm Reset,MV:3002961,,,1079.5,375.0,1064.7,368.0,29.7,13.9,71.82,48.83,,
197,Value Display,NAE189/Field Bus1.GTP-BP.BP1-SS,BO:3002502,,,1275.5,516.0,1261.1,511.4,28.8,9.2,84.86,67.19,,
198,Value Display,NAE189/Field Bus1.GTP-AH3.ZN-T,AI:3002376,,,1468.5,527.0,1453.0,521.7,31.0,10.6,97.7,68.62,,
199,Value Display,NAE189/Field Bus1.GTP-CH3.CH3-TWS-T,AI:3002753,,,245.5,377.6,228.7,370.3,33.6,14.5,16.33,49.17,,
200,Value Display,NAE189/Field Bus1.GTP-TOWER48.TW8R-T,AI:3003159,,,1084.5,165.0,1067.7,157.7,33.6,14.5,72.16,21.48,,
201,Text Label,,,INLET COOLING,,1434.5,388.0,1391.0,380.0,87.0,16.0,95.44,50.52,,
202,Value Display,NAE189/Field Bus1.GTP-TOWER48.TW5R-T,AI:3003156,,,676.5,165.0,659.7,157.7,33.6,14.5,45.01,21.48,,
203,Value Display,NAE189/Field Bus1.GTP-CH3.CH3-STM-F,AI:3002745,,,461.5,480.0,438.6,472.8,45.9,14.5,30.71,62.5,,
204,Value Display,NAE189/Field Bus1.GTP-TOWER23.TW2F1-SS,BO:3002553,,,282.5,30.0,264.5,23.4,36.1,13.2,18.8,3.91,,
205,Value Display,NAE189/Field Bus1.GTP-TOWER48.TW8-OARH,AI:3003168,,,1262.5,45.0,1246.5,37.9,32.1,14.2,84.0,5.86,,
206,Value Display,NAE189/Field Bus1.GTP-CH5.Parameters.CH5-%LOAD,AV:3002935,,,953.9,430.1,923.9,423.2,60.0,13.7,63.46,56.0,,
207,Value Display,NAE189/Field Bus1.GTP-TOWER48.Parameters.TWMU-LVL-SP,AV:3003255,,,1194.0,95.0,1176.5,88.4,35.0,13.2,79.44,12.37,,
208,Value Display,NAE189/Field Bus1.GTP-BP.BCWR-T1,AI:3002504,,,1239.5,486.0,1225.6,479.9,27.8,12.3,82.47,63.28,,
209,Value Display,NAE189/Field Bus1.GTP-CH5.CH5-TWR-T1,AI:3002922,,,944.7,369.0,927.9,361.7,33.6,14.5,62.86,48.04,,
210,Value Display,NAE189/Field Bus1.GTP-TOWER48.Parameters.TW4-OAWB,AV:3003210,,,519.5,57.0,503.5,49.9,32.1,14.2,34.56,7.42,,
211,Value Display,NAE189/Field Bus1.GTP-TOWER23.TW2F2-SS,BO:3002552,,,351.5,30.0,333.5,23.4,36.1,13.2,23.39,3.91,,
212,Value Display,NAE189/Field Bus1.GTP-TOWER48.TW48BYP-V,AO:3003160,,,903.5,206.0,875.6,199.2,55.8,13.5,60.11,26.82,,
213,Value Display,NAE189/Programming.PCW Data.GTP-PCW-HkWpTon,AV:3002836,,,1450.5,180.0,1431.0,172.7,39.0,14.6,96.51,23.44,,
214,Value Display,NAE189/Field Bus1.GTP-CH1.CH1-TWS-T,AI:3002727,,,117.5,388.0,100.7,380.7,33.6,14.5,7.82,50.52,,
215,Value Display,NAE189/Field Bus1.GTP-CH1.CH1-CP1-SC,AO:3002736,,,72.5,582.0,54.5,575.4,36.1,13.2,4.82,75.78,,
216,Value Display,NAE189/Field Bus1.GTP-TOWER48.TW48S-T,AI:3003193,,,986.5,207.0,969.7,199.7,33.6,14.5,65.64,26.95,,
