Controller,Object Name,Object Identifier,Display Name,Description
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.BV-17,BV:3053069,CH1 ACC VALVE SURGE MAP,
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.BV-18,BV:3053068,CH1 ACC NEW SURGE POINT,
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.BV-19,BV:3053067,CH1 VSD COOL PUMP RUN RELAY,
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.BV-20,BV:3053066,CH1 VSD HARMONIC FILTER INST,
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.BV-21,BV:3053065,CH1 ACC SURGE DETECTION TYPE,
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.CH1 CONTROL SOURCE CODE,AV:3054339,CH1 CONTROL SOURCE CODE,
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.CH1 CYCLE CODE,AV:3054337,CH1 CYCLE CODE,
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.CH1 OP CODE,AV:3054335,CH1 OP CODE,
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.CH1 SAFETY CODE,AV:3054336,CH1 SAFETY CODE,
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.CH1 WARNING CODE,AV:3054338,CH1 WARNING CODE,
ECCP-NAE6,NAE6/Field Bus1.CH1-KW.AI-1,AI:3053029,Energy delivered,Energy delivered
ECCP-NAE6,NAE6/Field Bus1.CH1-KW.AI-2,AI:3053028,Energy Received,Energy Received
ECCP-NAE6,NAE6/Field Bus1.CH1-KW.AI-3,AI:3053027,Reactive energy delivered,Reactive energy delivered
ECCP-NAE6,NAE6/Field Bus1.CH1-KW.AI-4,AI:3053026,Reactive energy Received,Reactive energy Received
ECCP-NAE6,NAE6/Field Bus1.CH1-KW.AI-5,AI:3053025,CH1 Real power,Real power
ECCP-NAE6,NAE6/Field Bus1.CH1-KW.AI-6,AI:3053024,Reactive power,Reactive power
ECCP-NAE6,NAE6/Field Bus1.CH1-KW.AI-7,AI:3053023,Apparent power,Apparent power
ECCP-NAE6,NAE6/Field Bus1.CH1-KW.AI-8,AI:3053022,Power factor,Power factor
ECCP-NAE6,NAE6/Field Bus1.CH1-KW.AI-9,AI:3053021,Peak demand,Peak demand
ECCP-NAE6,NAE6/Field Bus1.CH1-KW.AI-10,AI:3053020,Current average,Current average
ECCP-NAE6,NAE6/Field Bus1.CH1-KW.AI-11,AI:3053019,Voltage line-neutral,Voltage line-neutral
ECCP-NAE6,NAE6/Field Bus1.CH1-KW.AI-12,AI:3053018,Voltage line-line,Voltage line-line
ECCP-NAE6,NAE6/Field Bus1.CH1-KW.AI-13,AI:3053017,Frequency,Frequency
ECCP-NAE6,NAE6/Field Bus1.CH1-KW.AI-14,AI:3053016,Phase angle,Phase angle
ECCP-NAE6,NAE6/Field Bus1.CH1-KW.AI-15,AI:3053015,Real power phase A,Real power phase A
ECCP-NAE6,NAE6/Field Bus1.CH1-KW.AI-16,AI:3053045,Real power phase B,Real power phase B
ECCP-NAE6,NAE6/Field Bus1.CH1-KW.AI-17,AI:3053044,Real power phase C,Real power phase C
ECCP-NAE6,NAE6/Field Bus1.CH1-KW.AI-18,AI:3053043,Reactive power phase A,Reactive power phase A
ECCP-NAE6,NAE6/Field Bus1.CH1-KW.AI-19,AI:3053042,Reactive power phase B,Reactive power phase B
ECCP-NAE6,NAE6/Field Bus1.CH1-KW.AI-20,AI:3053041,Reactive power phase C,Reactive power phase C
ECCP-NAE6,NAE6/Field Bus1.CH1-KW.AI-21,AI:3053040,Apparent power phase A,Apparent power phase A
ECCP-NAE6,NAE6/Field Bus1.CH1-KW.AI-22,AI:3053039,Apparent power phase B,Apparent power phase B
ECCP-NAE6,NAE6/Field Bus1.CH1-KW.AI-23,AI:3053038,Apparent power phase C,Apparent power phase C
ECCP-NAE6,NAE6/Field Bus1.CH1-KW.AI-24,AI:3053037,Power factor phase A,Power factor phase A
ECCP-NAE6,NAE6/Field Bus1.CH1-KW.AI-25,AI:3053036,Power factor phase B,Power factor phase B
ECCP-NAE6,NAE6/Field Bus1.CH1-KW.AI-26,AI:3053035,Power factor phase C,Power factor phase C
ECCP-NAE6,NAE6/Field Bus1.CH1-KW.AI-27,AI:3053034,Current phase A,Current phase A
ECCP-NAE6,NAE6/Field Bus1.CH1-KW.AI-28,AI:3053033,Current phase B,Current phase B
ECCP-NAE6,NAE6/Field Bus1.CH1-KW.AI-29,AI:3053032,Current phase C,Current phase C
ECCP-NAE6,NAE6/Field Bus1.CH1-KW.AI-30,AI:3053031,Voltage line-neutral phase A-N,Voltage line-neutral phase A-N
ECCP-NAE6,NAE6/Field Bus1.CH1-KW.AI-31,AI:3053030,Voltage line-neutral phase B-N,Voltage line-neutral phase B-N
ECCP-NAE6,NAE6/Field Bus1.CH1-KW.AI-32,AI:3053057,Voltage line-neutral phase C-N,Voltage line-neutral phase C-N
ECCP-NAE6,NAE6/Field Bus1.CH1-KW.AI-33,AI:3053056,Voltage line-line phase A-B,Voltage line-line phase A-B
ECCP-NAE6,NAE6/Field Bus1.CH1-KW.AI-34,AI:3053055,Voltage line-line phase B-C,Voltage line-line phase B-C
ECCP-NAE6,NAE6/Field Bus1.CH1-KW.AI-35,AI:3053054,Voltage line-line phase C-A,Voltage line-line phase C-A
ECCP-NAE6,NAE6/Field Bus1.CH1-KW.AI-36,AI:3053053,Phase angle phase A,Phase angle phase A
ECCP-NAE6,NAE6/Field Bus1.CH1-KW.AI-37,AI:3053052,Phase angle phase B,Phase angle phase B
ECCP-NAE6,NAE6/Field Bus1.CH1-KW.AI-38,AI:3053051,Phase angle phase C,Phase angle phase C
ECCP-NAE6,NAE6/Field Bus1.CH1-KW.AI-39,AI:3053050,Reserve A,Reserve A
ECCP-NAE6,NAE6/Field Bus1.CH1-KW.AI-40,AI:3053049,Reserve B,Reserve B
ECCP-NAE6,NAE6/Field Bus1.CH1-KW.AI-41,AI:3053048,Reserve C,Reserve C
ECCP-NAE6,NAE6/Field Bus1.CH1-KW.AI-42,AI:3053047,External Input 1,External Input 1
ECCP-NAE6,NAE6/Field Bus1.CH1-KW.AI-43,AI:3053046,External Input 2,External Input 2
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.AV-1,AV:3054044,CH2 REM LEAVING CHW TEMP SP,Remote leaving CHST setpoint
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.AV-2,AV:3054043,CH2 MOTOR CURRENT REMOTE SP,
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.AV-3,AV:3054042,CH2 HOT WATER REMOTE SP,
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.AV-5,AV:3054041,CH2 LEAVING CHW TEMP,
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.AV-6,AV:3054040,CH2 ENTERING CHW TEMP,
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.AV-7,AV:3054039,CH2 EVAPORATOR PRESSURE,
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.AV-8,AV:3054038,CH2 CONDENSER PRESSURE,
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.AV-9,AV:3054037,CH2 OIL DIFERENTIAL PRESSURE,
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.AV-10,AV:3054036,CH2 ENTERING COND WATER TEMP,
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.AV-11,AV:3054035,CH2 LEAVING COND WATER TEMP,
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.AV-12,AV:3054034,CH2 MOTOR CURRENT PCT FLA,
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.AV-13,AV:3054033,CH2 PHASE A MOTOR CURRENT,
